"","target","gene","avg_log2FC","p_val","p_val_bh"
"37","HCE1","SLC16A1",-0.526060632364075,5.13598854527922e-07,7.20460985547648e-05
"38","HCE1","ANP32B",-0.217315588590208,5.15576851782144e-07,7.20460985547648e-05
"39","HCE1","DONSON",-0.629564719104925,5.24216015603699e-07,7.20460985547648e-05
"40","HCE1","RNF181",0.340663262087645,5.45657159572018e-07,7.31180593826504e-05
"41","HCE1","CENPK",-0.675377154931062,5.59843282523513e-07,7.31892681542933e-05
"42","HCE1","H2AFV",-0.364201182765143,6.88667895355094e-07,8.7887140931031e-05
"43","HCE1","CBX3",-0.161277850800497,7.29246313936044e-07,9.0901400992958e-05
"44","HCE1","PPM1G",-0.283130855492853,7.68591316289789e-07,9.36283967116652e-05
"45","HCE1","BARD1",-0.693385905555482,8.34615217267794e-07,9.88258125868066e-05
"46","HCE1","PAICS",-0.445239336746699,8.48131973692743e-07,9.88258125868066e-05
"47","HCE1","PRKDC",-0.153442600875862,8.69923605286882e-07,9.92083090284614e-05
"48","HCE1","HNRNPF",-0.234397575806117,1.01826421817657e-06,0.000113706171029717
"49","HCE1","CARHSP1",-0.537150041503887,1.09970712492326e-06,0.000117336034441731
"50","HCE1","NOP56",-0.401479173403756,1.11233647463903e-06,0.000117336034441731
"51","HCE1","SFI1",-0.587017002287945,1.11644361129259e-06,0.000117336034441731
"52","HCE1","DNAJC9",-0.682266927152817,1.3297752834297e-06,0.000137069144599677
"53","HCE1","BAZ1A",-0.380517983143109,1.42973332759287e-06,0.000144591898790524
"54","HCE1","ABHD3",-0.721237285577572,1.55614459838497e-06,0.00015446176013599
"55","HCE1","CDK4",-0.295829282623803,1.66168904629425e-06,0.000160135758744357
"56","HCE1","SLC2A4RG",-0.493737173594891,1.67306016598582e-06,0.000160135758744357
"57","HCE1","MCM6",-0.564717035061376,1.7658293643879e-06,0.000166049919177529
"58","HCE1","PSIP1",-0.436993632780594,2.19999512850908e-06,0.000203309894634633
"59","HCE1","RBBP8",-0.49305791890918,2.24678376071333e-06,0.000204114592498703
"60","HCE1","MYL12B",0.157367709735206,2.44922762336355e-06,0.000218797667687144
"61","HCE1","TIMELESS",-0.493256413680295,2.5454088607214e-06,0.000223662155630601
"62","HCE1","SLBP",-0.380008580415633,2.76176300293192e-06,0.000236899721222648
"63","HCE1","CENPU",-0.575102982631794,2.80297386327036e-06,0.000236899721222648
"64","HCE1","CLSPN",-0.702226750540857,2.82865338773311e-06,0.000236899721222648
"65","HCE1","LDHB",-0.162945260576635,3.08925746996149e-06,0.000254744923676824
"66","HCE1","RANBP1",-0.290464859525199,3.80300294266157e-06,0.000308849935949485
"67","HCE1","FANCA",-0.590774508016039,4.47367397406765e-06,0.000357893917925412
"68","HCE1","GAPDH",-0.121869054422909,4.6107292988943e-06,0.000363433956501081
"69","HCE1","MPHOSPH9",-0.523254596117624,5.68483355259722e-06,0.000441604461477118
"70","HCE1","CENPX",-0.503496089932189,6.1738330051118e-06,0.000472739212962847
"71","HCE1","CTPS2",-0.532486962755779,6.53476195541734e-06,0.000493328508183619
"72","HCE1","SUPT16H",-0.239048274740166,7.18859544892068e-06,0.000535150994530762
"73","HCE1","XRCC3",-0.474789672779467,7.4172251670277e-06,0.000544607217743404
"74","HCE1","RNF157",-0.491883510929243,7.54100091961298e-06,0.000546213039582778
