"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","target","p_val_bh"
"162","TGME49-249190",0.0146963245683245,-0.0896048248924226,0.349,0.459,1,"MYR1",0.586885130195145
"163","TGME49-313190",0.0147247199065473,0.105627479347076,0.448,0.358,1,"MYR1",0.586885130195145
"164","TGME49-318650",0.0147954345017132,-0.0774819383229209,0.135,0.21,1,"MYR1",0.586885130195145
"165","TGME49-284780",0.014813530133425,-0.0486257229371074,0.045,0.096,1,"MYR1",0.586885130195145
"166","TGME49-213720",0.0152321016711804,-0.0616181266637695,0.068,0.127,1,"MYR1",0.587593464562059
"167","TGME49-207200",0.0152397820331506,-0.0558370128088354,0.07,0.131,1,"MYR1",0.587593464562059
"168","TGME49-213740",0.0153059789629047,-0.0793922386070313,0.172,0.258,1,"MYR1",0.587593464562059
"169","TGME49-250500",0.0154797613110608,0.0636986080678656,0.11,0.052,1,"MYR1",0.587593464562059
"170","TGME49-316510",0.0155226657703563,-0.109517360844358,0.349,0.445,1,"MYR1",0.587593464562059
"171","TGME49-267810",0.0155246002152925,-0.098684529792867,0.406,0.507,1,"MYR1",0.587593464562059
"172","TGME49-207990",0.0155700128909614,-0.0847583215343914,0.231,0.323,1,"MYR1",0.587593464562059
"173","TGME49-299670",0.0155721714009495,-0.100803797267492,0.363,0.467,1,"MYR1",0.587593464562059
"174","TGME49-285850",0.0156403951099584,-0.102531240315283,0.417,0.533,1,"MYR1",0.587593464562059
"175","TGME49-201250",0.0159901658473145,-0.0955666079719763,0.285,0.376,1,"MYR1",0.5973012236794
"176","TGME49-300040",0.016523236258656,-0.10212023876948,0.335,0.428,1,"MYR1",0.604129258319817
"177","TGME49-281675",0.0165607715849361,-0.0677541246644616,0.096,0.162,1,"MYR1",0.604129258319817
"178","TGME49-265460",0.0166244441995329,-0.0823261316306506,0.225,0.319,1,"MYR1",0.604129258319817
"179","TGME49-257730",0.0167703363800447,-0.0431231987620272,0.034,0.079,1,"MYR1",0.604129258319817
"180","TGME49-285710",0.0167987809465467,-0.0829517938542167,0.237,0.332,1,"MYR1",0.604129258319817
"181","TGME49-252340",0.0168752301372841,-0.0821341470584612,0.296,0.402,1,"MYR1",0.604129258319817
"182","TGME49-248780",0.0168889326403657,-0.0375144891862656,0.023,0.061,1,"MYR1",0.604129258319817
"183","TGME49-262560",0.0169122922246484,-0.0681779721032316,0.91,0.913,1,"MYR1",0.604129258319817
"184","TGME49-285240",0.0171553635212652,-0.067995299817337,0.899,0.921,1,"MYR1",0.607411345765144
"185","TGME49-257060",0.0171900105501838,-0.0772604193911286,0.206,0.293,1,"MYR1",0.607411345765144
"186","TGME49-312420",0.0173816891245767,-0.0967023241866118,0.349,0.454,1,"MYR1",0.608784918405746
"187","TGME49-240210",0.0174151414627313,-0.0722954746306743,0.208,0.301,1,"MYR1",0.608784918405746
"188","TGME49-281520",0.0176888955103306,-0.0913610914440731,0.293,0.384,1,"MYR1",0.610228466796649
"189","TGME49-314700",0.0177225554222453,-0.0387169911121929,0.028,0.07,1,"MYR1",0.610228466796649
"190","TGME49-216970",0.0178024010968938,-0.0691927444735486,0.189,0.284,1,"MYR1",0.610228466796649
"191","TGME49-312280",0.0178298358816215,-0.0762641190985857,0.183,0.266,1,"MYR1",0.610228466796649
"192","TGME49-305470",0.0180761966351609,-0.0647618516097967,0.11,0.179,1,"MYR1",0.611936085547327
"193","TGME49-319920",0.0180801868125801,0.0659444798077904,0.932,0.904,1,"MYR1",0.611936085547327
"194","TGME49-279400",0.0181605630405662,0.0878434528171754,0.856,0.803,1,"MYR1",0.611936085547327
"195","TGME49-254490",0.0185506443034563,0.0755700736336742,0.211,0.135,1,"MYR1",0.618069420639476
"196","TGME49-309050",0.0186034316858096,-0.0687812063685498,0.118,0.188,1,"MYR1",0.618069420639476
"197","TGME49-270830",0.0186262315842094,-0.0765340379769628,0.152,0.227,1,"MYR1",0.618069420639476
"198","TGME49-299180",0.018782200120609,0.0981841480094059,0.33,0.245,1,"MYR1",0.620097182769803
"199","TGME49-310190",0.0189939472133867,-0.070012178407087,0.144,0.218,1,"MYR1",0.621043595438472
"200","TGME49-305340",0.0190008748795616,-0.0950575588108667,0.549,0.646,1,"MYR1",0.621043595438472
"201","TGME49-219440",0.0192418948992167,-0.0797908827885244,0.183,0.262,1,"MYR1",0.621885543819414
"202","TGME49-249350",0.0194518547170336,-0.0894898221918754,0.251,0.336,1,"MYR1",0.621885543819414
"203","TGME49-226390",0.0195499165387103,-0.0499711722303579,0.056,0.109,1,"MYR1",0.621885543819414
"204","TGME49-225940",0.0196086237587499,-0.0892550757719207,0.397,0.524,1,"MYR1",0.621885543819414
"205","TGME49-223140",0.0197370670836855,0.0713034454220702,0.938,0.908,1,"MYR1",0.621885543819414
"206","TGME49-316430",0.0198679910635906,-0.0515445933909946,0.056,0.109,1,"MYR1",0.621885543819414
"207","TGME49-314470",0.0198822440704381,-0.0850005262648568,0.273,0.367,1,"MYR1",0.621885543819414
"208","TGME49-207440",0.0200127804388817,-0.0134496262433887,1,1,1,"MYR1",0.621885543819414
"209","TGME49-202572",0.0200278471562234,-0.0600907250339285,0.107,0.175,1,"MYR1",0.621885543819414
"210","TGME49-269588",0.0200965714322669,0.0427919255026896,0.07,0.026,1,"MYR1",0.621885543819414
"211","TGME49-313990",0.0202571882533274,-0.0644757553509632,0.121,0.192,1,"MYR1",0.621885543819414
"212","TGME49-206600",0.0205195595583339,-0.0861039872139849,0.2,0.279,1,"MYR1",0.621885543819414
"213","TGME49-280370",0.0206187135396109,-0.109824309227016,0.439,0.537,1,"MYR1",0.621885543819414
"214","TGME49-222130",0.0207072881471904,-0.053678328381402,0.099,0.166,1,"MYR1",0.621885543819414
"215","TGME49-318290",0.0207101316489493,-0.0601030739336147,0.09,0.153,1,"MYR1",0.621885543819414
"216","TGME49-216740",0.0207661995780747,-0.0539526000460346,0.073,0.131,1,"MYR1",0.621885543819414
"217","TGME49-275860",0.0208077125690596,-0.099282443860812,0.603,0.707,1,"MYR1",0.621885543819414
"218","TGME49-305050",0.020995618326462,-0.0536022921839032,0.051,0.1,1,"MYR1",0.621885543819414
"219","TGME49-220350",0.0210631065806162,-0.0747631759513957,0.276,0.38,1,"MYR1",0.621885543819414
"220","TGME49-258420",0.0210761302040036,-0.0741929299629375,0.155,0.231,1,"MYR1",0.621885543819414
"221","TGME49-266690",0.02119521041422,-0.0725912569488888,0.239,0.341,1,"MYR1",0.621885543819414
"222","TGME49-280540",0.0211979536060225,0.0718367101207259,0.228,0.148,1,"MYR1",0.621885543819414
"223","TGME49-273640",0.0212146973033088,-0.0496474778767531,0.051,0.1,1,"MYR1",0.621885543819414
"224","TGME49-310610",0.0213658305070288,0.0944296819002949,0.482,0.402,1,"MYR1",0.621896246636667
"225","TGME49-203358",0.0215692092166793,-0.0783876344936443,0.183,0.262,1,"MYR1",0.621896246636667
"226","TGME49-202760",0.0216344997471474,-0.0703076253558773,0.183,0.266,1,"MYR1",0.621896246636667
"227","TGME49-235540",0.0216486235484146,-0.0541994569295616,0.93,0.93,1,"MYR1",0.621896246636667
"228","TGME49-206610",0.0216907364591036,-0.0574627651037366,0.09,0.153,1,"MYR1",0.621896246636667
"229","TGME49-318210",0.0219419200072334,-0.0630598833490421,0.104,0.17,1,"MYR1",0.623867868465141
"230","TGME49-314720",0.0221450557829178,-0.0912951841195093,0.423,0.533,1,"MYR1",0.623867868465141
"231","TGME49-202410",0.0223131186708299,-0.0778584224071354,0.223,0.31,1,"MYR1",0.623867868465141
"232","TGME49-285880",0.0223364584702962,-0.0682820245641177,0.138,0.21,1,"MYR1",0.623867868465141
"233","TGME49-260270",0.0223979789235652,-0.0721116966324977,0.121,0.188,1,"MYR1",0.623867868465141
"234","TGME49-298020",0.0227890355793659,-0.0817202862907832,0.313,0.419,1,"MYR1",0.623867868465141
"235","TGME49-285520",0.022793954989492,-0.0669420539350456,0.11,0.175,1,"MYR1",0.623867868465141
"236","TGME49-299000",0.0228124798932322,-0.0647487993074531,0.217,0.319,1,"MYR1",0.623867868465141
"237","TGME49-208370",0.0230262550750753,-0.0966937813056631,0.33,0.432,1,"MYR1",0.623867868465141
"238","TGME49-217050",0.0230565244593694,-0.0880277954268266,0.299,0.384,1,"MYR1",0.623867868465141
"239","TGME49-266366",0.0230666244436755,-0.0959072926018325,0.738,0.79,1,"MYR1",0.623867868465141
