target,gene.set,mean.score,mean.score.z,auc,p.value,p.value.bh
225150,PID_EPHA2_FWD_PATHWAY,1.055748075,-0.096212316,0.500356604,0.990220397,0.999502566
225150,PID_EPHA_FWDPATHWAY,0.720442575,-0.454889905,0.471005099,0.318658517,0.848808589
225150,PID_EPHB_FWD_PATHWAY,0.881017444,0.130320883,0.503033969,0.916899336,0.992567501
225150,PID_EPHRINB_REV_PATHWAY,0.650700531,-0.082216951,0.494365049,0.846335463,0.983805234
225150,PID_EPO_PATHWAY,0.60275006,0.005286118,0.498292492,0.95317587,0.995135286
225150,PID_ERA_GENOMIC_PATHWAY,1.007842239,-1.369651911,0.447193393,0.069343087,0.615368298
225150,PID_ERBB1_DOWNSTREAM_PATHWAY,1.131062821,1.10318758,0.538672962,0.183492778,0.772958219
225150,PID_ERBB1_INTERNALIZATION_PATHWAY,0.785149034,-0.48856072,0.477832949,0.445828976,0.90167463
225150,PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY,0.893413409,1.02570194,0.532844214,0.258641275,0.823287766
225150,PID_ERBB2_ERBB3_PATHWAY,0.85924339,0.841564905,0.522337278,0.442343551,0.901128645
225150,PID_ERBB4_PATHWAY,0.66561193,0.27356684,0.504671641,0.872357318,0.98821707
225150,PID_ERBB_NETWORK_PATHWAY,0.736035854,0.272659977,0.513720299,0.637014769,0.945339189
225150,PID_ERB_GENOMIC_PATHWAY,0.847189472,-1.117817266,0.466712322,0.252266956,0.817730064
225150,PID_ER_NONGENOMIC_PATHWAY,0.859642421,0.518959051,0.517104325,0.556355072,0.928349592
225150,PID_FAK_PATHWAY,1.349228555,0.434199737,0.523006838,0.42878642,0.898402291
225150,PID_FANCONI_PATHWAY,0.247340946,-0.071337428,0.478215305,0.453714543,0.904805454
225150,PID_FAS_PATHWAY,0.4970094,0.134482181,0.49338166,0.819943208,0.979138549
225150,PID_FCER1_PATHWAY,0.919657275,0.326150501,0.50744154,0.798004521,0.976030766
225150,PID_FGF_PATHWAY,0.680177235,-0.196836933,0.494916759,0.861220169,0.985499284
225150,PID_FOXM1_PATHWAY,0.460536268,1.009178567,0.528051232,0.334663708,0.858281949
225150,PID_FOXO_PATHWAY,1.154710223,1.517542276,0.550014447,0.085405771,0.648871163
225150,PID_FRA_PATHWAY,1.079137796,0.477701022,0.512424391,0.669156176,0.952361444
225150,PID_GLYPICAN_1PATHWAY,1.332956873,-0.444281022,0.470396646,0.308609059,0.844442457
225150,PID_GMCSF_PATHWAY,1.005175901,0.365990668,0.502554715,0.929990191,0.993530792
225150,PID_HDAC_CLASSIII_PATHWAY,1.012282038,-0.281256238,0.493978764,0.835946026,0.98201197
225150,PID_HDAC_CLASSII_PATHWAY,1.166558865,-0.194904946,0.491939532,0.781613211,0.972957958
225150,PID_HDAC_CLASSI_PATHWAY,0.845691137,0.527325051,0.516273704,0.575686543,0.932036981
225150,PID_HEDGEHOG_2PATHWAY,0.246250068,-0.152809322,0.491563286,0.771695654,0.970741734
225150,PID_HEDGEHOG_GLI_PATHWAY,0.824621061,0.446588754,0.522342952,0.442227639,0.901128645
225150,PID_HES_HEY_PATHWAY,1.039013703,-0.040469031,0.487740598,0.673293723,0.95240316
225150,PID_HIF1A_PATHWAY,1.724035302,-1.024172468,0.462087821,0.192263716,0.779561965
225150,PID_HIF1_TFPATHWAY,1.046176603,0.566003009,0.521868063,0.451988525,0.903904561
225150,PID_HIF2PATHWAY,1.05958712,0.141372403,0.493400429,0.820445118,0.979151455
225150,PID_HIV_NEF_PATHWAY,0.641007453,-0.684454664,0.466168032,0.244594126,0.814839467
225150,PID_HNF3A_PATHWAY,1.00766095,1.115661926,0.543076605,0.138464732,0.730068228
225150,PID_HNF3B_PATHWAY,0.867436152,-0.316058671,0.479208296,0.47455675,0.909075846
225150,PID_IFNG_PATHWAY,0.720646309,0.261220486,0.50846814,0.770868935,0.970700568
225150,PID_IGF1_PATHWAY,1.18651498,0.982259321,0.532778742,0.25959174,0.823287766
225150,PID_IL12_2PATHWAY,0.879511453,0.399566261,0.513307389,0.647185606,0.946786019
225150,PID_IL12_STAT4_PATHWAY,0.8587644,1.715970282,0.575527551,0.009387159,0.272732285
225150,PID_IL1_PATHWAY,0.670153884,0.996199408,0.543558478,0.134105806,0.72296719
225150,PID_IL23_PATHWAY,0.590778562,0.466066336,0.510678036,0.713437201,0.95993633
225150,PID_IL27_PATHWAY,0.647164353,0.698694955,0.530961678,0.286938366,0.834922629
225150,PID_IL2_1PATHWAY,0.943229652,0.709955097,0.527530076,0.343721114,0.864202865
225150,PID_IL2_PI3K_PATHWAY,1.381333316,-0.368040657,0.479316106,0.47685084,0.909887034
225150,PID_IL2_STAT5_PATHWAY,0.83415622,-0.561330096,0.474722159,0.38464096,0.880425525
225150,PID_IL3_PATHWAY,0.930365921,-0.741348649,0.470357363,0.307967524,0.844442457
225150,PID_IL4_2PATHWAY,1.014842427,-0.969421565,0.473680719,0.365361875,0.873917651
225150,PID_IL5_PATHWAY,0.738112535,-0.996937053,0.457429275,0.143157422,0.734437984
225150,PID_IL6_7_PATHWAY,1.172878545,-0.005781911,0.498058975,0.946780379,0.994830694
225150,PID_IL8_CXCR1_PATHWAY,0.710298601,-0.265411807,0.482244448,0.541423492,0.92680284
225150,PID_IL8_CXCR2_PATHWAY,0.734010724,-0.219931767,0.479037196,0.470928405,0.907930789
225150,PID_ILK_PATHWAY,1.488955821,-0.023415249,0.492149915,0.787174393,0.974119579
225150,PID_INSULIN_GLUCOSE_PATHWAY,1.395828858,0.821872336,0.521656807,0.456369522,0.905218709
225150,PID_INSULIN_PATHWAY,0.845860836,0.042362443,0.501302019,0.964288239,0.996710461
225150,PID_INTEGRIN1_PATHWAY,1.509962275,0.642997244,0.523912969,0.410829498,0.89063466
225150,PID_INTEGRIN2_PATHWAY,0.679611653,0.191646892,0.493527881,0.823855372,0.980056008
225150,PID_INTEGRIN3_PATHWAY,1.740345078,0.802422544,0.53632252,0.21157794,0.791230701
225150,PID_INTEGRIN4_PATHWAY,0.637951073,-0.120814481,0.499824535,0.995190955,0.999900575
225150,PID_INTEGRIN5_PATHWAY,0.900774964,1.970145128,0.562869207,0.030597958,0.465324335
225150,PID_INTEGRIN_A4B1_PATHWAY,1.561083264,0.919887271,0.520834043,0.473657493,0.909027401
225150,PID_INTEGRIN_A9B1_PATHWAY,1.014465654,0.15787035,0.50700637,0.809583323,0.977859007
225150,PID_INTEGRIN_CS_PATHWAY,0.819284255,-0.156404664,0.498202141,0.950700973,0.995090336
225150,PID_KIT_PATHWAY,0.798040997,0.660347855,0.523808214,0.412882321,0.891258367
