"target","t2.stat","p.value","p.value.bh","n.cells"
"225320",18.8461515108876,0.533466683984659,0.862616766981612,36
"203930",23.4493843119364,0.268887678711098,0.627404583659229,14
"291630",16.1725405734562,0.707107512091846,0.886363185263344,7
"315210",17.4923804280356,0.622269023083155,0.869300368129193,13
"273980",25.1644004516863,0.196658705480876,0.580592536211793,32
"246710",16.0622443262801,0.713978554434569,0.886363185263344,12
"NTPaseI",17.9259885605705,0.593803266266556,0.862616766981612,23
"316280",13.2549905065463,0.86684936024255,0.95659613211767,17
"GRA44",24.0582021372343,0.241421652004253,0.608382563050717,4
"GRA52_CST5",43.3196059982171,0.00190788915451456,0.0218540030426214,3
"272460",9.57264971391048,0.975421122429182,0.990759023377839,5
"202420",7.38757154151698,0.995236502754914,0.995236502754914,4
"270200",14.5189466655656,0.804162556339034,0.946957776623535,9
"RON11",10.2399615842997,0.963817906112078,0.990759023377839,3
"GRA1",32.1707055081317,0.0421007537328499,0.30312542687652,17
"209985",19.907682602074,0.465412569043289,0.82039717314401,28
"226690",21.5891904483787,0.364926814063557,0.729853628127115,16
"297280",28.7649236145197,0.0934757558285776,0.416879505889965,7
"213069",20.2215403303179,0.445857657863646,0.80714906699882,9
"ROP47",15.7836995662666,0.731120457052458,0.898743195986436,7
"ASP3",13.6495720129742,0.848558370410529,0.95659613211767,6
"264600",13.4626556004117,0.857375327787105,0.95659613211767,18
"RON10",26.6175337863145,0.147636436337088,0.516727527179808,11
"297510",25.2314185270009,0.194157740613035,0.580592536211793,11
"268790",26.725446952396,0.144417635167662,0.514527253000777,16
"GRA53_CST6",24.9374184495382,0.205306608482626,0.580592536211793,17
"ROP22",20.6826242216388,0.417738541145808,0.779778610138841,17
"243690",14.7530533165647,0.79132834310891,0.940894620170479,4
"253130",31.7461403810903,0.0467106274313349,0.310947934593856,5
"CYP18",13.0089486241951,0.877625208371845,0.95659613211767,3
