"target","gene","avg_log2FC","pct.1","pct.2","p_val","p_val_bh","Naor_2018_significant_genes_avg_log2FC"
"MYR1","THSD4",-1.5583186698561,0.679,0.974,3.40890559219382e-50,6.6852047568513e-48,NA
"MYR1","SYNE2",-1.14511972220037,0.161,0.769,4.76173272353248e-50,9.24577628130648e-48,NA
"MYR1","TMEM97",-1.5596901096954,0.245,0.817,5.07809454256412e-50,9.76338353668873e-48,-1.78205862744185
"MYR1","H2AFZ",-1.10545506397442,1,1,5.66908928630674e-50,1.07938359217244e-47,-0.874346332224442
"MYR1","HES6",-1.30132790058587,0.034,0.576,6.8624437905341e-50,1.29403254977081e-47,-3.34103691783507
"MYR1","HMGN2",-0.873789482839703,1,1,9.9533653189099e-50,1.85900425970611e-47,NA
"MYR1","PCNA",-1.3241198587764,0.721,0.978,2.45251263247075e-49,4.53737973918716e-47,-2.32989522317559
"MYR1","SERBP1",-0.700140078363724,0.997,1,2.52436396774639e-49,4.62666371696023e-47,NA
"MYR1","SRSF3",-0.715572845400116,1,1,3.90834186052993e-49,7.09689742841226e-47,NA
"MYR1","SET",-0.851473258430774,0.994,1,5.14064670827003e-49,9.2489195042095e-47,-1.23308500450973
"MYR1","COL1A2",0.652928011824745,1,1,8.88531387512823e-49,1.584089912774e-46,NA
"MYR1","SNRPG",-0.815417573691648,1,1,9.8223243519746e-49,1.73536579159076e-46,NA
"MYR1","NEAT1",1.19857429035431,1,0.956,1.15263805508219e-48,2.0182486516265e-46,NA
"MYR1","CBX5",-1.10834651122642,0.625,0.978,1.90353146092606e-48,3.30355358232044e-46,NA
"MYR1","COLCA1",-1.03619361234611,0.068,0.62,2.71524701255131e-48,4.67093940027576e-46,NA
"MYR1","VIM",-0.662662961617025,1,1,4.30332474195702e-48,7.33847839256688e-46,NA
"MYR1","LRIG1",-0.936252174472204,0.076,0.629,6.23457944247151e-48,1.05402015039921e-45,-1.05939108434927
"MYR1","FAM111B",-1.5502443284321,0.014,0.515,1.36203617540771e-47,2.2829821740103e-45,-4.67119489836524
"MYR1","LINC00511",-1.21414385708207,0.166,0.742,1.50208841902181e-47,2.49639457503701e-45,-0.750480400640688
"MYR1","YWHAH",-1.07256738256605,0.989,1,2.5238479122381e-47,4.15925894175642e-45,-1.11101748028783
"MYR1","PTMAP2",-0.865448598272714,0.082,0.638,3.18720810394007e-47,5.20869484386406e-45,NA
"MYR1","ATF4",1.04689813174854,0.992,0.843,4.25938581091107e-47,6.9033731518824e-45,NA
"MYR1","KIRREL3",-1.31710087997405,0.961,0.983,4.79749946519135e-47,7.71178377146455e-45,NA
"MYR1","WDR76",-0.838922303762527,0.056,0.594,4.85974981226997e-47,7.74833768848995e-45,-3.48095713046735
"MYR1","HPRT1",-1.03783522553776,0.685,0.978,5.45117681051227e-47,8.62121197023839e-45,NA
"MYR1","FKBP5",-1.17995922159759,0.118,0.668,7.72582149934734e-47,1.21208868338961e-44,-1.89006597296716
"MYR1","OSTC",0.749431873119969,1,1,9.07606162068413e-47,1.41262416224791e-44,NA
"MYR1","S1PR3",-1.29979998122006,0.313,0.865,1.05530368288048e-46,1.62957169487946e-44,NA
"MYR1","RFC2",-0.955740939262264,0.177,0.742,1.08853557955964e-46,1.66775556646438e-44,-0.621547502380626
