"target","gene","avg_log2FC","pct.1","pct.2","p_val","p_val_bh"
"GRA3","TGME49_220230",-0.0222745728089482,0.12,0.139,0.0625279177261366,0.430425961028022
"GRA3","TGME49_242240",0.0313917762931056,0.131,0.114,0.0627470323425934,0.431570708140851
"GRA3","TGME49_236080",-0.0474024476370689,0.25,0.273,0.0628730769704437,0.432073937700165
"GRA3","TGME49_308070",-0.0301873852370814,0.139,0.159,0.0629782826714834,0.432375820264511
"GRA3","TGME49_280670",0.152984852460115,0.311,0.294,0.0630963557769376,0.432375820264511
"GRA3","TGME49_200250",0.239388232173618,0.621,0.619,0.0631301857814431,0.432375820264511
"GRA3","TGME49_231280",-0.0250565497756131,0.076,0.091,0.0631840569400421,0.432375820264511
"GRA3","TGME49_225745",0.013734385663674,0.045,0.035,0.0631924286004453,0.432375820264511
"GRA3","TGME49_237880",0.0721305267162284,0.936,0.94,0.0632345006995583,0.432375820264511
"GRA3","TGME49_217760",0.0508372656794441,0.21,0.192,0.0634573587508424,0.433507242577424
"GRA3","TGME49_289530",-0.0246873266721055,1,1,0.0635491885381741,0.433507242577424
"GRA3","TGME49_233310",-0.0135668857670495,0.022,0.031,0.0635591331058321,0.433507242577424
"GRA3","TGME49_306930",0.0635018595733867,0.672,0.665,0.0636767071529932,0.433769753252574
"GRA3","TGME49_242720",-0.0307412472488012,0.149,0.17,0.0637037943829505,0.433769753252574
"GRA3","TGME49_247790",-0.033490367601672,0.153,0.174,0.0638070916319092,0.433858917946334
"GRA3","TGME49_254080",0.0680427219231399,0.313,0.293,0.0638230840009171,0.433858917946334
"GRA3","TGME49_201860",0.263953927685629,0.612,0.593,0.0639480042726815,0.434346752212868
"GRA3","TGME49_298970",-0.0311353108659704,0.755,0.786,0.0640354021139997,0.434579128466355
"GRA3","TGME49_313530",0.0342414134765003,0.259,0.236,0.0641979759251058,0.435103927025696
"GRA3","TGME49_258660",0.19239531534751,0.425,0.41,0.0642631973564403,0.435103927025696
"GRA3","TGME49_265270",-0.0373274405735727,0.198,0.22,0.0642724807147247,0.435103927025696
"GRA3","TGME49_205680",0.0372568456762798,0.179,0.16,0.064444539877649,0.435907562367773
"GRA3","TGME49_271270",0.0477572635680414,0.242,0.221,0.0645282076009966,0.436112476681343
"GRA3","TGME49_214990",-0.0171884557453026,0.033,0.044,0.0645868117980239,0.436147800993102
"GRA3","TGME49_200010",0.0646029301096125,0.69,0.658,0.0647253891726577,0.436722671288015
"GRA3","TGME49_262400",-0.0672395302700282,0.382,0.408,0.0648664143009119,0.437091135463587
"GRA3","TGME49_250060",0.0235128780853824,0.132,0.115,0.0649217687022181,0.437091135463587
"GRA3","TGME49_214800",0.0158062385288355,0.055,0.044,0.0649404771084071,0.437091135463587
"GRA3","TGME49_246210",-0.011050674389502,0.014,0.022,0.0650864468158926,0.437713050973381
"GRA3","TGME49_235000",-0.0159350770965088,0.033,0.044,0.0655331080311421,0.440354461942814
"GRA3","TGME49_313990",-0.0245661337736585,0.099,0.116,0.0658220597948428,0.441932662763895
"GRA3","TGME49_273990",-0.00876749783751615,0.007,0.013,0.0659791867428941,0.442216168167802
"GRA3","TGME49_236280",-0.00940069381461074,0.009,0.016,0.0660160859888172,0.442216168167802
"GRA3","TGME49_231030",0.019903087918498,0.138,0.12,0.0660266460855119,0.442216168167802
"GRA3","TGME49_204130",-0.0968551495268348,0.564,0.583,0.0664201117185388,0.444487086693023
"GRA3","TGME49_290190",0.0241350350541836,0.192,0.171,0.0666346006112875,0.445557546313282
"GRA3","TGME49_220090",0.0305424577471202,0.255,0.233,0.066704023908385,0.44565705589159
"GRA3","TGME49_290570",-0.0242183430115581,0.089,0.105,0.0671193116623719,0.448065274177484
"GRA3","TGME49_265360",-0.0190819756157802,0.06,0.074,0.0673109564535604,0.448407243644339
"GRA3","TGME49_293760",0.0339138624430098,0.246,0.222,0.0674797518014297,0.448407243644339
"GRA3","TGME49_219310",-0.0395173876031801,0.547,0.569,0.0674911674218418,0.448407243644339
"GRA3","TGME49_288360",-0.0490985696194339,0.603,0.628,0.0675078765325451,0.448407243644339
"GRA3","TGME49_247485",-0.0374589156966652,0.127,0.145,0.0675375540179919,0.448407243644339
"GRA3","TGME49_251870",-0.0226017607569791,0.072,0.087,0.067559705063604,0.448407243644339
"GRA3","TGME49_320080",-0.0521933183867084,0.44,0.466,0.0675693205488175,0.448407243644339
"GRA3","TGME49_223000",-0.0577533617606606,0.213,0.234,0.0676448480710537,0.448407243644339
"GRA3","TGME49_222220",0.0629292706670097,0.855,0.878,0.0676714888053593,0.448407243644339
"GRA3","TGME49_277050",-0.0146080967712132,0.03,0.041,0.0677193169327028,0.448407243644339
"GRA3","TGME49_230160",0.0814517542165683,0.922,0.93,0.0678381761499653,0.448830556535519
"GRA3","TGME49_215160",-0.0437048711070133,0.431,0.456,0.0681675343417501,0.45056823637732
"GRA3","TGME49_274110",-0.0257439976555935,0.087,0.103,0.068211101260402,0.45056823637732
"GRA3","TGME49_278640",-0.0222927389203422,0.078,0.094,0.0683323318148603,0.451004429126998
"GRA3","TGME49_215210",0.0271516525206636,0.169,0.149,0.0683977089146849,0.451071573480137
"GRA3","TGME49_321450",-0.0442147317297722,0.346,0.367,0.0685510590760367,0.451631542694844
"GRA3","TGME49_232300",-0.0350613698204683,1,1,0.0686415263342583,0.451631542694844
"GRA3","TGME49_239110",-0.00801288985484576,0.006,0.011,0.0686807014551532,0.451631542694844
"GRA3","TGME49_229180",-0.0401355530232878,0.308,0.331,0.0687037091628554,0.451631542694844
"GRA3","TGME49_214840",-0.0216604745556013,0.71,0.736,0.0687662003707329,0.45167895757979
"GRA3","TGME49_254510",-0.0300709265147271,0.119,0.137,0.0688632784769234,0.451727701316865
"GRA3","TGME49_263400",0.0204578156589694,0.179,0.159,0.0688841899205499,0.451727701316865
"GRA3","TGME49_210790",0.027235074145162,0.166,0.148,0.0689641002812844,0.451889064473436
"GRA3","TGME49_217700",-0.00902503242219435,0.008,0.014,0.0690314136763834,0.45196769322895
"GRA3","TGME49_312300",-0.0218389991615603,0.06,0.073,0.0692733102298906,0.453042778848195
"GRA3","TGME49_235720",-0.0182424021361556,0.058,0.072,0.0693458048648128,0.453042778848195
"GRA3","TGME49_254555",-0.0336479692729687,0.133,0.151,0.0693619528012595,0.453042778848195
"GRA3","TGME49_248880",0.0634800383813419,0.819,0.811,0.0695829146296554,0.454018128400856
"GRA3","TGME49_238040",0.0272892226227043,0.179,0.159,0.0696224103397715,0.454018128400856
"GRA3","TGME49_223045",-0.0123143691227079,0.018,0.026,0.0699667013133924,0.455488445568091
"GRA3","TGME49_298610",-0.0498794075949074,0.316,0.337,0.0701182673639415,0.455488445568091
"GRA3","TGME49_281500",-0.0180704855225827,0.042,0.053,0.07012416195199,0.455488445568091
"GRA3","TGME49_238260",-0.0128167087967401,0.02,0.028,0.0701247096823465,0.455488445568091
"GRA3","TGME49_272320",-0.0140913034796688,0.033,0.043,0.0701604441112671,0.455488445568091
"GRA3","TGME49_213050",0.0592242073956415,0.91,0.913,0.0701823464655766,0.455488445568091
"GRA3","TGME49_273800",-0.0106195811509636,0.013,0.02,0.0703160021616153,0.45586108269128
"GRA3","TGME49_270310",0.0307072012562868,0.321,0.295,0.0703513431983483,0.45586108269128
"GRA3","TGME49_216120",-0.0341053135469165,0.195,0.216,0.0704605492982019,0.456015258469368
"GRA3","TGME49_294808",-0.0103057966497858,0.012,0.019,0.0704876336580748,0.456015258469368
"GRA3","TGME49_281510",0.0379966820796516,0.219,0.199,0.0705425635424405,0.456015258469368
"GRA3","TGME49_263595",-0.0439138487319577,0.184,0.203,0.0706383273715887,0.456045376338056
"GRA3","TGME49_263270",-0.0319086647997293,0.103,0.119,0.0706588479309728,0.456045376338056
"GRA3","TGME49_264485",0.00797809785693166,0.017,0.011,0.0708502133360998,0.456919568405108
