"target","t2.stat","p.value","p.value.bh","n.cells","significance"
"GRA35",14.6583104407707,0.796169915371808,0.986267717893663,156,"Non-significant"
"GRA2",46.3767771186358,0.000729361381575866,0.092628895460135,404,"Non-significant"
"225330",22.8887560498017,0.295258953999983,0.914582613609702,194,"Non-significant"
"GRA16",26.3224187353559,0.156186865948675,0.735106611953301,71,"Non-significant"
"277230",16.049325267093,0.71427387256304,0.984375179715827,22,"Non-significant"
"ROP24",21.4034939754843,0.374739574179508,0.947008314013869,167,"Non-significant"
"268970",12.2511731742141,0.907446111269978,0.995012262886982,160,"Non-significant"
"308950",33.4981254515039,0.0299985273130767,0.520739110988442,175,"Non-significant"
"GRA3",513.738424986969,0,0,1226,"Significant"
"244250",21.3913273118343,0.375434653223555,0.947008314013869,66,"Non-significant"
"ROP19A",18.5861584957992,0.549787192608764,0.951779468228925,167,"Non-significant"
"MYR1",22.4007785697068,0.320150822928653,0.947008314013869,204,"Non-significant"
"GRA11B",30.859060131202,0.0575035670355379,0.561765616424101,259,"Non-significant"
"ROP30",18.6694520071926,0.54433421938669,0.951779468228925,158,"Non-significant"
"236860",17.3129598610227,0.633407213925423,0.956155688841696,36,"Non-significant"
"Toxofilin",23.7767934360867,0.2532069338504,0.877800277936873,44,"Non-significant"
"PP2CHN",11.9380919607257,0.918446550956122,0.996946256166046,47,"Non-significant"
"RON12",10.3084992356234,0.962353373326873,0.999019044037624,139,"Non-significant"
"ROP39",17.7182561091928,0.60683485120553,0.956155688841696,274,"Non-significant"
"ROP40",10.6313472798013,0.955376541910416,0.999019044037624,90,"Non-significant"
"EFPP",26.8728568904074,0.139598799440122,0.723634593016143,31,"Non-significant"
"ROP20",31.6174905228982,0.0479248120700655,0.528486653050029,136,"Non-significant"
"GRA21",24.2261067473537,0.233558640064062,0.86068909565537,232,"Non-significant"
"268760",31.9084284511555,0.0446424071731106,0.528486653050029,263,"Non-significant"
"NTPaseII",24.4047437998462,0.226052241668575,0.86068909565537,620,"Non-significant"
"ROP6",20.3637270138698,0.436394511031999,0.951779468228925,121,"Non-significant"
"294630",17.5893603348855,0.615301329546771,0.956155688841696,11,"Non-significant"
"248510",31.8456506458695,0.0453333054507798,0.528486653050029,105,"Non-significant"
"217530",21.1776164427977,0.387751435659222,0.947008314013869,192,"Non-significant"
"GRA34",32.489508401222,0.0386783830243411,0.528486653050029,145,"Non-significant"
"WIP",29.0800220675355,0.0867463143874249,0.657380423015794,81,"Non-significant"
"ROP8",13.7135195358096,0.845164490083778,0.986267717893663,533,"Non-significant"
"GRA9",30.0541932360524,0.0694601496764881,0.624706121487616,239,"Non-significant"
